Image,Question,Answer
e0bb643cd6977c2,What is the base grain in the dish,rice
e0bb643cd6977c2,How are the lentils and rice combined,blending
e0bb643cd6977c2,What are the lentils blending with,lentils
e0bb643cd6977c2,Where are the green accents scattered,across the surface
ec6d2fcde874a93,What color are the lentils predominantly,brown
ec6d2fcde874a93,How are the lentils arranged in the image,clustered
ec6d2fcde874a93,What color are the small pieces of vegetables interspersed among the lentils,orange
ec6d2fcde874a93,Where are the pale yellow chips located in relation to the lentil salad,to the right
ec6d2fcde874a93,What is the light-colored mixture below the salad likely to be,grain
0709520e7bd4bff,What color are the lentils,green
0709520e7bd4bff,What type of lentils are in the rice,lentils
0709520e7bd4bff,What color is the rice surrounding the lentils,brown
0709520e7bd4bff,What does the rice do to the lentils,surrounds
0709520e7bd4bff,Where is the silver bowl located in the image,in the top-right quadrant
76af72738e32d43,What color is the Key Lime Ice Cream,pale yellow
76af72738e32d43,What type of dessert is shown in the image,ice cream
76af72738e32d43,What color are the mint leaves on top of the ice cream,green
76af72738e32d43,Where are the mint leaves placed,on top
76af72738e32d43,What fruit is present in the background,limes
a79e90c134667af,How would you describe the lime curd,fresh
a79e90c134667af,What fruit is used to make the curd,lime
a79e90c134667af,What is the main color of the lime curd,yellow
a79e90c134667af,What is the tint of the lime curd,green
a79e90c134667af,Where are the limes positioned relative to the glass,to the left
8c37422a557da8c,What does the lime pie have on top,has
8c37422a557da8c,What type of dessert is shown in the image,pie
8c37422a557da8c,What color are the lime slices,green
8c37422a557da8c,What color is the crust of the pie,brown
8c37422a557da8c,Where are the lime slices placed,on top
513dc1eda01a289,What color is the limeade,translucent
513dc1eda01a289,What material is the glass made of,glass
513dc1eda01a289,What color is the limeade described as,whitish-yellow
513dc1eda01a289,Where is the slice of lime placed,on the rim
513dc1eda01a289,What fruit is on the rim of the glass,lime
eca3b6896d566ae,What is the color of the glass that holds the tea,clear
eca3b6896d566ae,What type of drink is being described,tea
eca3b6896d566ae,What color is the slice of lime on the rim of the glass,green
eca3b6896d566ae,What is the tea served with to make it cold,with ice
eca3b6896d566ae,Where does the slice of lime rest,rests
3ee38beb674dbec,What is the color of the lime,green
3ee38beb674dbec,Where is the lime located,located on
3ee38beb674dbec,What is the color of the peppercorns,peppercorns
3ee38beb674dbec,Where does the pile of peppercorns sit,sits
3ee38beb674dbec,What is the color of the bowl,off-white
36063f30f25adc5,What color is the cake,yellow
36063f30f25adc5,Where does the cake sit,sits on
36063f30f25adc5,What color are the strawberries,red
36063f30f25adc5,What color is the mint leaf,green
36063f30f25adc5,What texture does the frosting have,creamy
5d36b07c2dd9554,What color is the Limoncello in the jar,yellow
5d36b07c2dd9554,Where are the lemon peels located inside the jar,submerged
5d36b07c2dd9554,What is the container used to hold the Limoncello,jar
5d36b07c2dd9554,What type of surface is the jar placed on,wooden surface
5d36b07c2dd9554,Where is the jar positioned in the image,on the wooden surface
e8147f9535cd84d,What color is the frozen limoncello,yellow
e8147f9535cd84d,What is the name of the drink in the glass,limoncello
e8147f9535cd84d,How much of the glass does the limoncello fill,fills
e8147f9535cd84d,What is the texture of the limoncello,creamy
b47b1fb1693ecc2,What color is the liquid at the bottom of the glass,red
b47b1fb1693ecc2,What material is the glass made of,glass
b47b1fb1693ecc2,What color is the slice on the rim,orange
b47b1fb1693ecc2,Where is the orange slice placed,on the rim
b47b1fb1693ecc2,What is happening to the colors in the glass,transitioning
a15fc3c341be3fc,What color is the Limoncello II liquid,yellow
a15fc3c341be3fc,What is floating in the Limoncello II liquid,lemon peels
a15fc3c341be3fc,What type of container is the Limoncello II in,glass jar
a15fc3c341be3fc,What material is the table made of,wooden
a15fc3c341be3fc,Where are the lemon peels located,in the jar
197b61b8eccf1bb,What color is the bowl,white
197b61b8eccf1bb,What type of dish is being described,seafood
197b61b8eccf1bb,What color are the broccoli florets,green
197b61b8eccf1bb,Where are the shrimp predominantly located,on the right
197b61b8eccf1bb,What color are the carrots,orange
1ac69b98e263994,What color are the grill marks on the chicken,brown
1ac69b98e263994,What type of meat is shown in the image,chicken
1ac69b98e263994,What color is the linguine,yellow
1ac69b98e263994,Where is the parsley located relative to the chicken,of the chicken
1ac69b98e263994,What color is the parsley,green
9d6e878984d9bcf,What color are the chicken pieces,off-white
9d6e878984d9bcf,What type of meat is used in the dish,chicken
9d6e878984d9bcf,What color are the mushrooms,brown
9d6e878984d9bcf,Where are the chicken pieces located in relation to the linguine,on top of
9d6e878984d9bcf,What color are the tiny herbs sprinkled on the food,green
5a3a373e75ebdb8,What color is the linguine,yellow
5a3a373e75ebdb8,What type of pasta is shown in the image,linguine
5a3a373e75ebdb8,What color are the chives,green
5a3a373e75ebdb8,Where are the clams placed in relation to the linguine,on top of
5a3a373e75ebdb8,How are the clams distributed throughout the dish,scattered
83a47d9b5b23bd5,Where is the linguine located in the image,located at the bottom
83a47d9b5b23bd5,What type of ingredient is light brown and scattered throughout the dish,mushrooms
83a47d9b5b23bd5,How are the mushrooms distributed in the dish,scattered
83a47d9b5b23bd5,What type of meat is pink and interspersed among the mushrooms,ham
83a47d9b5b23bd5,What is the appearance of the sauce covering the dish,creamy
4cc9eafa194487a,What color are the shrimp,orange
4cc9eafa194487a,What type of seafood is in the dish,shrimp
4cc9eafa194487a,What is the shrimp covered in,coated
4cc9eafa194487a,What color is the creamy sauce,white
4cc9eafa194487a,Where are the green basil leaves placed,on top of
dd9d68c02070959,What color is the linguine,yellow
dd9d68c02070959,How is the linguine arranged on the plate,piled
dd9d68c02070959,What color are the specks of herbs in the linguine,green
dd9d68c02070959,What flavor is the linguine,Garlic-Herb
dd9d68c02070959,Where is the sprig of parsley located,on the top
c098afee03841c3,What color is the linguine in the dish,yellow
c098afee03841c3,How are the red bell pepper pieces arranged in the dish,scattered
c098afee03841c3,What color are the bell pepper pieces that add bright accents,red
c098afee03841c3,What type of meat is nestled within the linguine,sausage
c098afee03841c3,Where is the green parsley sprig located,on the upper right side
832348891f467fc,What does the sauce fill in the image,fills
832348891f467fc,What is the main component of the dish,sauce
832348891f467fc,What color are the specks of herbs in the sauce,herbs
832348891f467fc,What is the color of the pepper in the sauce,black
832348891f467fc,What is the pasta mentioned in the dish,with Linguine
7e0bebeba1535eb,What color is the linguine in the image,yellow
7e0bebeba1535eb,What type of pasta is shown in the image,linguine
7e0bebeba1535eb,What color is the tomato sauce in the image,red
7e0bebeba1535eb,Where are the shrimp located in the image,with
7e0bebeba1535eb,What is intermixed with the linguine and tomato sauce in the image,shrimp
f573faac844e945,What color is the linguine,yellow
f573faac844e945,What type of pasta is in the bowl,linguine
f573faac844e945,What color are the asparagus spears,green
f573faac844e945,What color are the bacon pieces,reddish-brown
f573faac844e945,Where are the arugula leaves located,throughout the bowl
19404b6e0f7c73d,What color is the sauce on the linguine,orange
19404b6e0f7c73d,What is the base of the dish,dish
19404b6e0f7c73d,How are the slices of sausage arranged in the dish,arranged
19404b6e0f7c73d,What color is the shaved cheese,white
19404b6e0f7c73d,Where is the white shaved cheese scattered,over the pasta
0f47aba2c1035e4,What color is the linguine pasta,beige
0f47aba2c1035e4,What type of food is the main ingredient in the dish,pasta
0f47aba2c1035e4,What color are the portobello mushrooms,brown
0f47aba2c1035e4,What color are the fresh herbs,green
0f47aba2c1035e4,Where are the sprigs of fresh green herbs placed,on top of
d68e123bb89ed76,What color is the bowl,blue
d68e123bb89ed76,What type of food is in the bowl,liver
d68e123bb89ed76,What color is the chopped liver,brown
d68e123bb89ed76,What is the chopped liver topped with,with
d68e123bb89ed76,What is next to the chopped liver on the right,parsley
11eb23d4248a117,What color is the liver in the bowl,brown
11eb23d4248a117,What type of meat is primarily in the bowl,liver
11eb23d4248a117,What is the liver doing in the bowl,filling
11eb23d4248a117,What color are the chopped hard-boiled eggs on top of the liver,yellow
11eb23d4248a117,Where is the small sprig of green parsley located,on the right
4bde91d014886a7,What type of food is described in the image,liverwurst
4bde91d014886a7,Where is the large portion of liverwurst situated,situated
4bde91d014886a7,How would you describe the texture of the liverwurst,coarse
4bde91d014886a7,What is the liverwurst placed on,plate
4bde91d014886a7,Where is the large portion of liverwurst located on the plate,on the left side
035f26c76f388d2,What is the primary color of the liver pieces,reddish-brown
035f26c76f388d2,What type of food is primarily reddish-brown in the image,liver
035f26c76f388d2,What color is the plate under the liver and onions,grey
035f26c76f388d2,How do the onions appear after being cooked,caramelized
035f26c76f388d2,Where are the onions placed in relation to the liver pieces,on top of
6aa785e70187169,What color is the liver pâté,light brown
6aa785e70187169,What is the light brown food in the image,pâté
6aa785e70187169,Where is the circular bowl of liver pâté located,located
6aa785e70187169,What color are the chives sprinkled on the pâté,green
6aa785e70187169,Where is the liver pâté smeared on the bread,on the bread
63f4618a7902b79,How are the dog liver bites arranged in the image,packed
63f4618a7902b79,What is the shape of the dog liver bites,bites
63f4618a7902b79,What color are the dog liver bites,brown
63f4618a7902b79,What type of meat are the bites made from,liver
63f4618a7902b79,Where are some of the dog liver bites placed in the image,on top of
e50c3fc4c9d4b20,What color is the bacon,reddish-brown
e50c3fc4c9d4b20,What type of meat is wrapped in the bacon,chicken
e50c3fc4c9d4b20,What color is the plate,white
e50c3fc4c9d4b20,Where are the bacon-wrapped chicken livers placed,on a plate
e50c3fc4c9d4b20,How are the bacon-wrapped chicken livers positioned on the plate,arranged
f8e34c947f8266a,What color is the beef liver,reddish-brown
f8e34c947f8266a,What type of meat is on the plate,liver
f8e34c947f8266a,Where is the beef liver located on the plate,right
f8e34c947f8266a,What type of liver is on the plate,beef
f8e34c947f8266a,Where is the beef liver positioned,on the right side
4e1d8e1dd314ea1,What color is the chopped liver,brown
4e1d8e1dd314ea1,What type of organ is used in the dish,liver
4e1d8e1dd314ea1,Where does the parsley sit,sits
4e1d8e1dd314ea1,What color is the parsley,green
4e1d8e1dd314ea1,Where is the toast located relative to the chopped liver mound,to the left of
ed20dba047a323d,What color are the chicken liver appetizers,reddish-brown
ed20dba047a323d,How are the chicken liver pieces placed on the plate,arranged
ed20dba047a323d,What is the main ingredient in the appetizers,liver
ed20dba047a323d,What color are the lettuce leaves under the chicken liver,green
ed20dba047a323d,Where are the chicken liver pieces placed,on a bed
adba6e44ae7d40b,What color is the liver primarily,black
adba6e44ae7d40b,What is the color of the liver on the left,golden-brown
adba6e44ae7d40b,Where does the liver sit,sits
adba6e44ae7d40b,What type of meat is on the left,liver
adba6e44ae7d40b,What is the food sitting in,in oil
86ccaf48ebf9d0f,What color are the Peri Peri Chicken Livers,brown
86ccaf48ebf9d0f,What is the main ingredient in the dish,chicken livers
86ccaf48ebf9d0f,What color is the plate,white
86ccaf48ebf9d0f,What color are the herbs mixed with the chicken livers,green
86ccaf48ebf9d0f,Where are the chicken livers located on the plate,in the center
334666c6a406a48,What is the color of the mock chopped liver,light
