Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
dcc8dd6406b261c,What color are the apples in the skillet?,golden-yellow,What is the cooking tool used to prepare the apples?,skillet,How does the glaze on the apples appear?,glistening,Where is the cinnamon located on the apples?,scattered across,Where is the wooden spoon placed in the skillet??,spoon
b4228b13ed327ef,What type of food is the Red Hot Applesauce Jell-O?,dessert,What is the shape of the Jell-O dessert?,molded,Where does the Jell-O dessert sit?,sits on,What is the partially visible item in the upper left corner made of?,crocheted,How would you describe the color of the Jell-O dessert??,vibrant
47319ad0fa9cdb4,What is the applesauce contained in?,applesauce,What color is the applesauce?,is,What color is the bowl?,blue,What color is the apple closer to the bowl?,red,Where is the bowl placed??,on a surface
dc9c9c226ed6f6b,What is the color of the applesauce?,applesauce,What is the color of the applesauce in the bowl?,golden-brown,What is being done with the spoon in the image?,scooped,What color is the bowl containing the applesauce?,white,Where is most of the applesauce located??,in the bowl
87dcaa6589364fe,What color is the applesauce?,golden-brown,What is the dish being prepared in the image?,applesauce,What is the appliance used to cook the applesauce?,cooker,What material is the spoon made of?,wooden,Where is the bowl located in the image??,on the lower left
69f8d2e102e2122,What shape is the second ornament?,reindeer,What are the applesauce cinnamon ornaments used as?,ornaments,What color are the scented applesauce cinnamon ornaments?,brown,How are the ornaments displayed?,hanging,What is the background color of the image??,on a green background
e0e667da478e560,What color is the pear-applesauce inside the jar?,golden-amber,What is the container holding the pear-applesauce?,jar,What color is the apple on the table?,yellow,Where is the jar of pear-applesauce placed?,on the table,What color is the small dish containing more pear-applesauce??,white
996c337701e6c89,What is the main protein in the dish?,meat,What vegetable is visible in the ground meat mixture?,carrots,How are the plantains prepared?,fried,Where is the ground meat mixture located?,on the plate,Where is the rice placed relative to the ground meat??,adjacent
caac71a136904b7,How is the dish presented?,is presented,What color is the plate?,brown,What type of meat is used in the dish?,chicken,What is the main grain in the dish?,rice,Where is the chicken positioned on the plate??,in the center
4e590149b465bf8,What color is the rice in the dish?,greenish,What is the main grain used in the dish?,rice,What color are the carrot pieces in the dish?,orange,What is the rice served with?,with chicken,What color are the bell pepper strips in the dish??,red
a86a21459f26e0e,What color is the pot?,white,How are the green peas distributed?,scattered,What type of meat is in the dish?,chicken,What color is the rice?,orange-brown,Where is the dish located??,in a pot
dfe352fc27f8b07,What color is the plate?,brown,What is the main grain in the dish?,rice,What color is the rice?,golden,Where is the rice in the image?,in the center,What type of meat is mixed in the rice??,chicken
33d1c59055074f4,What color is the bowl?,yellow,What is the Arroz a la Mexicana served in?,bowl,What is the main ingredient in the dish?,rice,What color is the rice mixed with?,orange,Where is the bowl located in the image??,in the center
91f669cc4b6deaf,What is the color of the rice in the pot?,is,What is the rice cooked in?,pot,What color is the rice in the pot?,yellowish-orange,What are the green items in the rice?,with gandules,What color are the pigeon peas in the rice??,green
e0d807ecc1cc31b,What color are the artichoke hearts?,green,What type of vegetable is shown in the lower-left area?,artichoke,What type of meat is above the artichokes?,chicken,What color is the plate?,white,Where are the lettuce leaves located??,to the right
33a7bfd5a029a42,What color are the roasted artichokes?,golden-brown,What vegetable is being served?,artichokes,Where is the artichoke wrapped in foil located?,green,What color is the scalloped bowl?,on the bottom right,Where is the artichoke wrapped in foil positioned??,wrapped
6266131f8dbaa71,What color are the artichoke hearts?,yellow-green,What vegetable is featured in the dish?,artichoke,What is the golden-brown layer on top of the dish?,topping,What color is the topping on the dish?,golden-brown,Where are the black specks distributed??,across the surface
4e7e60a07e0b8b6,What color is the plate?,blue,What type of vegetable is shown?,artichokes,What color are the artichokes?,green,Where is the artichoke positioned on the plate?,on the left,Which artichoke is nearer to the viewer??,closer
01441632376bffd,What color are the artichoke leaves closest to the base?,brown,What vegetable is featured in the image?,artichoke,Where is the stuffed artichoke located in the image?,located in,What ingredient in the stuffing has a reddish-brown color?,bacon,What color are the crumbs on the stuffing??,white
35a1f9966d4a305,What color are the artichokes?,green,What is sprinkled around the artichokes and pasta?,sprinkled,What is the artichokes placed on top of?,pasta,What color are some of the artichokes on one side?,brownish,Where are the artichokes located??,on top of
13fec4de3ca7ca4,What color is the chicken in the image?,pale,What type of meat is shown in the image?,chicken,What color are the green onions in the image?,green,Where are the green onions located in the image?,on top,What color is the sliced tomato in the image??,red
bfa4049ba9e9e50,What color are the exterior leaves of the artichokes?,white,What type of vegetable is visible in the image?,artichokes,What color is the rim of the plates?,green,What color is the stuffing inside the artichokes?,beige,Where is the second artichoke located??,in the background
5f01365c4aee483,What color are the artichoke hearts?,green,Where are the artichoke hearts served?,bowl,How does the filling appear in some areas?,toasted,What color is the cheese scattered on top?,white,Where are the artichoke hearts placed??,in the bowl
8c6b4f629dce70e,What type of vegetable is shown in the image?,artichokes,What color is the plate?,blue,What colors are the artichokes?,yellow-green,How are the artichokes placed on the plate?,arranged,Where are the artichokes arranged??,on a blue plate
bc56d52e63e1b96,What is the texture of the base of the dip?,creamy,What type of food is scattered across the dip?,cheese,What is the color of the shredded cheese on the dip?,shredded,What color is the shredded cheese on the dip?,yellow,Where is the shredded cheese scattered on the dip??,across the entire surface
8a9d0ea2640b066,What color are the artichoke bites?,light,What shade of brown are the artichoke bites?,golden-brown,How are the artichoke bites arranged on the plate?,stacked,What color are the specks on the artichoke bites?,green,Where are the artichoke bites located in the image??,in the lower right
5ce76dee3a70c04,What material is the bowl made of?,ceramic,What color are the darker pieces of artichokes on the exterior?,brown,What is the state of the artichokes in the bowl?,filling,What type of vegetable is being described?,artichokes,Where are the darker brown and caramelized pieces located??,on the exterior
b639d6d15f883e1,What color are the artichokes?,green,What type of vegetable is shown in the image?,artichokes,What color are the leaves of the artichokes?,brownish-green,Where is the artichoke on the bottom right located?,located more centrally,What part of the artichoke is visible in layers??,leaves
635ebe510c25e22,What color are the artichokes?,greenish-yellow,What type of vegetable is shown in the image?,artichokes,Where are the artichokes placed?,placed,Where is the grill located in the image?,on a grill,Where is one artichoke located in the image??,bottom-left
ba46338cb1a2dac,What type of jar are the artichokes stored in?,glass jar,What color are the artichokes in the jar?,green,Where are the artichokes located in the image?,in a clear glass jar,How much of the jar do the artichokes occupy?,fill,What type of food is shown in the jar??,artichokes
