,Image,Question,Answer
5899,ac703afc65d2391,Where is the piece of lasagna being lifted from,out of
5905,c98456388db4687,What is the color of the baking dish,clear
5906,c98456388db4687,What type of food is shown in the image,lasagna
5907,c98456388db4687,What color are the lasagna noodles,yellow
5908,c98456388db4687,"Where are the small, white pieces of cheese",on top
5909,c98456388db4687,What color is the tomato sauce,red
5910,73007acbad0e0f0,What color are the scattered basil leaves on the lasagna,yellow
5911,73007acbad0e0f0,What type of dish is shown in the image,lasagna
5912,73007acbad0e0f0,How are the basil leaves arranged on the lasagna,scattered
5913,73007acbad0e0f0,What color are the broccoli pieces in the lasagna,green
5914,73007acbad0e0f0,Where is the lasagna slice located in the image,in the center
5920,a1395abebee3854,What color is the baking dish,dark-brown
5921,a1395abebee3854,What type of dish is being described,lasagna
5922,a1395abebee3854,What is the overall color of the lasagna,off-white
5923,a1395abebee3854,"How are the small, dark-green specks arranged on top of the lasagna",scattered
5924,a1395abebee3854,What is scattered across the top of the lasagna,of potatoes
5925,3cbbe1f8b500dc2,What is sprinkled on top of the lasagna,cheese
5926,3cbbe1f8b500dc2,What is the lasagna being prepared for,baking
5927,3cbbe1f8b500dc2,What color is the sauce layer in the lasagna,reddish-orange
5928,3cbbe1f8b500dc2,What is the bottom layer of the lasagna made of,pasta
5929,3cbbe1f8b500dc2,What is sprinkled on top of the cheese layer,sprinkled
5930,f6e980793d7ff8c,What color are the lasagna noodles,yellowish-brown
5931,f6e980793d7ff8c,What type of dish is shown in the image,lasagna
5932,f6e980793d7ff8c,What color is the tomato sauce in the lasagna,red
5933,f6e980793d7ff8c,Where is the lasagna placed,on a plate
5934,f6e980793d7ff8c,What is used to decorate the top of the lasagna,garnish
5935,5c9a72dd6d3b8e3,What color are the plates on the left side of the image,white
5936,5c9a72dd6d3b8e3,What type of dish is shown in the image,lasagna
5937,5c9a72dd6d3b8e3,What color is the top layer of cheese on the lasagna,golden-brown
5938,5c9a72dd6d3b8e3,What type of meat is used in the lasagna,chicken
5939,5c9a72dd6d3b8e3,Where is the larger portion of lasagna located,on the right
5940,ae16a19e611965f,What color is the melted cheese on the lasagna,yellow
5941,ae16a19e611965f,What type of dish is shown in the image,lasagna
5942,ae16a19e611965f,What color are the sliced tomatoes on the lasagna,reddish-orange
5943,ae16a19e611965f,Are the sliced tomatoes visible on the lasagna,visible
5944,ae16a19e611965f,Where is the lasagna positioned in the image,in the center
5945,9acfb7749f1017d,Is the lasagna vegan,vegan
5946,9acfb7749f1017d,What type of dish is shown in the image,lasagna
5947,9acfb7749f1017d,What color is the plate,white
5948,9acfb7749f1017d,What color is the tomato sauce,red
5949,9acfb7749f1017d,Where is the lasagna placed,on a plate
5950,0fea228d0358490,What color is the topmost layer of the lasagna,reddish-pink
5951,0fea228d0358490,What is the main dish in the image,lasagna
5952,0fea228d0358490,What color is the spinach in the filling,green
5953,0fea228d0358490,What is the white ingredient mixed with the spinach,with white tofu
5954,0fea228d0358490,How is the lasagna presented in the image,cut
5955,bc577e486be9030,What is the texture of the liquid in the glass,creamy
5956,bc577e486be9030,Is the glass completely filled with the drink,filled
5957,bc577e486be9030,What color is the liquid in the glass,yellow
5958,bc577e486be9030,What is the drink served in,glass
5959,bc577e486be9030,Where are the ice cubes located in the glass,on top
5960,a9d94ea05afa98f,What color is the strawberry lassi,pink
5961,a9d94ea05afa98f,What fruit is used in the lassi,strawberries
5962,a9d94ea05afa98f,How are the strawberries arranged on top of the lassi,arranged
5963,a9d94ea05afa98f,Where are the strawberries arranged on the lassi,on top
5964,a9d94ea05afa98f,Where is the whole strawberry positioned in the glass,left
5970,d46573e0ddf026f,What is the texture of the mango lassi,creamy
5971,d46573e0ddf026f,What type of drink is shown in the image,mango lassi
5972,d46573e0ddf026f,What color is the mango lassi,yellow
5973,d46573e0ddf026f,Where is the second glass of mango lassi seen,seen
5974,d46573e0ddf026f,Where is the spoon located,in the background
5980,66e6140aca81459,What color is the mug,brown
5981,66e6140aca81459,What color is the whipped cream on top of the latte,white
5982,66e6140aca81459,Where is the mug placed,sitting on
5983,66e6140aca81459,What is on top of the latte,whipped
5984,66e6140aca81459,What is scattered across the whipped cream,scattered
5990,0bd5b1fdb2657ea,What color is the mug,brown
5991,0bd5b1fdb2657ea,What color is the foam on top of the latte,mug
5992,0bd5b1fdb2657ea,What is the croissant filled with,white
5993,0bd5b1fdb2657ea,Where is the white foam located,filling
5994,0bd5b1fdb2657ea,Where is the croissant placed,on top
6000,3bf094c92960bc0,What color is the mug,white
6001,3bf094c92960bc0,What is the latte served in,mug
6002,3bf094c92960bc0,What is the latte topped with,topped
6003,3bf094c92960bc0,What color is the swirl of coffee in the foam,light brown
6004,3bf094c92960bc0,Where is the bottle of caramel syrup located,to the left
6010,f6d25a896d5af22,What color is the top creamy layer of the latte,creamy
6011,f6d25a896d5af22,How many distinct layers does the latte have,layer
6012,f6d25a896d5af22,What color is the dark brown layer of the latte,brown
6013,f6d25a896d5af22,Where is the dark brown layer located in the latte,in the center
6014,f6d25a896d5af22,Where is the mug situated in the image,on
6020,6af14acb7137174,What color is the icing on the bombs,orange
6021,6af14acb7137174,What are the spherical items on the plate called,bombs
6022,6af14acb7137174,What color is the base of the bombs,white
6023,6af14acb7137174,What is the color of the plate,on a white plate
6024,6af14acb7137174,What shape are the Pumpkin-Spice Latte Bombs,spherical
6025,c9415b9229130d1,What color is the coffee-colored liquid at the bottom of the glass,brown
6026,c9415b9229130d1,What type of beverage is the Frozen Caramel Latte,coffee
6027,c9415b9229130d1,What is the texture of the frozen liquid layer,layer
6028,c9415b9229130d1,What is on top of the Frozen Caramel Latte,with whipped cream
6029,c9415b9229130d1,What color is the mint sprig on the whipped cream,green
6030,5792a191d9f0d66,What is the pattern of the light brown color in the latte,swirling
6031,5792a191d9f0d66,What type of drink is shown in the image,latte
6032,5792a191d9f0d66,What color is the cup and saucer,green
6033,5792a191d9f0d66,What color are the spices sprinkled on the whipped cream,with reddish-brown spices
6034,5792a191d9f0d66,What does the latte do to the rest of the cup,fills
6035,6a3f684ef892829,What color is the glass mug,clear
6036,6a3f684ef892829,What type of drink is shown in the image,latte
6037,6a3f684ef892829,What color is the latte beneath the foam,brown
6038,6a3f684ef892829,What is the texture of the foam on top of the latte,creamy
6039,6a3f684ef892829,Where is the Pumpkin Spice Latte located in the image,in the image
6040,d0b4cadd13bcf9d,What type of drink is shown in the image,iced
6041,d0b4cadd13bcf9d,What is the main ingredient in the whipped mixture,coffee
6042,d0b4cadd13bcf9d,What color is the whipped coffee mixture,brown
6043,d0b4cadd13bcf9d,Where is the Whipped Coffee Iced Latte located in the image,in the center
6044,d0b4cadd13bcf9d,What is the white liquid at the bottom of the glass,milk
6045,e412721ebf46e76,What is the primary color of the latte,brown
6046,e412721ebf46e76,What type of drink is shown in the image,latte
6047,e412721ebf46e76,What is on top of the latte,topped
6048,e412721ebf46e76,What color is the whipped cream,white
6049,e412721ebf46e76,Where is the latte positioned in the frame,to the left
6055,ef402d5f3664220,What color is the base of the latte,brown
6056,ef402d5f3664220,What color is the foam on top of the latte,white
6057,ef402d5f3664220,What is the latte served in,mug
6058,ef402d5f3664220,What is covering much of the latte's surface,covering
6059,ef402d5f3664220,What sits on top of the latte,foam
6060,1546a9a725566d8,What flavor is the latte,Coconut-White
6061,1546a9a725566d8,What type of drink is shown in the image,latte
6062,1546a9a725566d8,What color is the latte,tan
6063,1546a9a725566d8,What color is the foam on top of the latte,white
6064,1546a9a725566d8,Where is the whipped cream located,on the whipped cream
6065,973bdf53297b123,What color is the plate,white
6066,973bdf53297b123,What vegetable is being prepared,leeks
6067,973bdf53297b123,What color are the leeks at the bottom of the plate,green
6068,973bdf53297b123,How do the leeks appear after being cooked,glistening
6069,973bdf53297b123,What were the leeks sautéed in,in butter
6070,3696eb3ca18cf5c,What color is the dish,white
6071,3696eb3ca18cf5c,What vegetable is the main ingredient,leeks
6072,3696eb3ca18cf5c,What color are the edges of the roasted leeks,brown
6073,3696eb3ca18cf5c,What cheese is sprinkled on the leeks,with parmesan
6074,3696eb3ca18cf5c,What is sprinkled over the leeks,sprinkled
6075,5a89b6975a97023,What color are the leeks,green
6076,5a89b6975a97023,What vegetable is pale green to yellow in the pan,leeks
6077,5a89b6975a97023,How are the leeks arranged in the pan,scattered
6078,5a89b6975a97023,What color are the carrot strips,orange
6079,5a89b6975a97023,Where are all the ingredients located,on a black stovetop
6080,6e19c26f8bf383e,What color is the serving dish,silver
6081,6e19c26f8bf383e,What vegetable is featured in the dish,leeks
6082,6e19c26f8bf383e,What color is the napkin under the dish,green
6083,6e19c26f8bf383e,Where is the serving dish placed,resting on
6084,6e19c26f8bf383e,What is the texture of the cheese on top of the leeks,shredded
6085,101177a218f0e00,What color are the leeks,green
6086,101177a218f0e00,What vegetable is being cooked,leeks
6087,101177a218f0e00,What cooking method is used for the leeks,sauteing
6088,101177a218f0e00,Where are some leeks placed in relation to the steak,on top of
6089,101177a218f0e00,Where are the leeks primarily located on the plate,located
6090,c13fbf37f37fc40,What color are the baby carrots,orange
6091,c13fbf37f37fc40,What is the dominant food item in the dish,carrots
6092,c13fbf37f37fc40,How would you describe the color of the baby carrots,vibrant
6093,c13fbf37f37fc40,What color are the leeks in the dish,green
6094,c13fbf37f37fc40,How are the leeks cut,cut
6100,2b6bc808859f051,What color is the lemon filling,yellow
6101,2b6bc808859f051,What fruit flavor are the squares,lemon
6102,2b6bc808859f051,What shape are the lemon squares,squares
6103,2b6bc808859f051,How does the lemon filling appear,translucent
6104,2b6bc808859f051,Where is the top lemon square positioned,on top of
6105,d2643da452a3eab,What color is the rice on the plate,white
6106,d2643da452a3eab,What type of meat is in the dish,chicken
6107,d2643da452a3eab,What fruit is used to flavor the chicken,lemon
6108,d2643da452a3eab,What color are the scallions used as garnish,green
6109,d2643da452a3eab,Where is the food placed,on a plate
6115,c3ef4bebd7d83f7,What color is the bottom layer of the pie,yellow
6116,c3ef4bebd7d83f7,What color is the top layer of the pie,golden-brown
6117,c3ef4bebd7d83f7,What is the texture of the crust's edge,crimped
6118,c3ef4bebd7d83f7,What is the color of the crust,is
6119,c3ef4bebd7d83f7,Where are the two yellow lemons located,on the upper right side
6120,d455083a5c96001,What color is the filling of the pie,yellow
6121,d455083a5c96001,What type of dessert is shown in the image,pie
6122,d455083a5c96001,What color is the plate the pie slice is resting on,gray
6123,d455083a5c96001,Where is the dollop of whipped cream located,on the
6124,d455083a5c96001,What color is the whipped cream on the pie,white
6125,137c8d16da7ce95,What is located on the top of each mini cheesecake,curd
6126,137c8d16da7ce95,Where is the lemon curd located,located on the top
6127,137c8d16da7ce95,What type of dessert is shown in the image,cheesecakes
6128,137c8d16da7ce95,How is the lemon curd garnished,garnished
6129,137c8d16da7ce95,What color is the mint leaf,green
6135,def71955d0af5cb,What color is the lemon curd in the left jar,yellow
6136,def71955d0af5cb,What fruit is associated with the curd in the image,lemon
6137,def71955d0af5cb,How would you describe the color of the lemon curd in the left jar,bright
6138,def71955d0af5cb,What containers hold the lemon curd,jars
6139,def71955d0af5cb,Where are the two lemons located in the image,to the left
6140,b312ccef1073d2e,What color is the lemon ginger water,yellow
6141,b312ccef1073d2e,What fruit is visible in the glasses and pitcher,lemon
6142,b312ccef1073d2e,What is the lemon ginger water made with,water
6143,b312ccef1073d2e,What color is the tray,white
6144,b312ccef1073d2e,Where are the glasses and pitcher arranged,on a tray
6145,c0df1ab0d23d4bd,What is the lemon sauce described as,vibrant
6146,c0df1ab0d23d4bd,What fruit is associated with the sauce,lemon
6147,c0df1ab0d23d4bd,What color is the pitcher,yellow
6148,c0df1ab0d23d4bd,What is positioned in the center of the image,pitcher
6149,c0df1ab0d23d4bd,Where is the pitcher positioned,in the center
6150,374e87ebca31172,What color is the baking dish,blue
6151,374e87ebca31172,What flavor is the dump cake,lemon
6152,374e87ebca31172,What color is the crumb topping of the cake,golden-brown
6153,374e87ebca31172,What is the whipped cream doing to the cake on the plate,obscuring
